CODE_DM,Latitude,Longitude
DM-05-05-03-01,13.71055885,100.5507545
DM-05-05-02-02,13.71595005,100.5534388
DM-05-05-04-02,13.7028437,100.5459642
DM-05-05-14-01,13.67411444,100.5350813
DM-05-02-08-01,13.71573504,100.5389855
DM-03-05-02-01,13.7871109,100.5743121
DM-03-05-03-01,13.7773768,100.566487
DM-03-05-05-01,13.775213,100.5635628
DM-03-06-03-01,13.76922613,100.5896187
DM-03-06-03-02,13.76914798,100.5896616
DM-03-06-03-03,13.7810902,100.5849856
DM-03-06-01-02,13.7988766,100.568109
DM-03-06-03-03,13.7824496,100.5837554
DM-03-05-05-01,13.7755204,100.5634233
DM-03-05-08-01,13.76952314,100.5584048
DM-03-05-07-01,13.76114814,100.5538718
DM-03-05-12-01,13.76271952,100.5501354
DM-03-01-06-01,13.8261216,100.5675704
DM-03-06-01-01,13.7876813,100.574173
DM-03-05-03-01,13.77864361,100.5666782
DM-07-05-01-01,13.71337645,100.5935832
DM-07-05-08-01,13.71461627,100.5777365
DM-07-05-11-01,13.71438957,100.5776668
DM-05-05-05-02,13.7069695,100.5374415
DM-05-05-05-01,13.7053878,100.5335319
DM-05-04-03-02,13.7062837,100.5265551
DM-05-04-03-01,13.7076076,100.5196415
DM-05-04-01-01,13.70789479,100.5179877
DM-05-03-02-01,13.70846956,100.5158696
DM-05-03-02-02,13.70851703,100.5157351
DM-05-04-06-04,13.6929459,100.5129777
DM-05-03-02-03,13.7080393,100.5092061
DM-05-03-03-01,13.7068383,100.5077367
DM-07-05-06-02,13.72497124,100.5773127
DM-07-05-09-02,13.71680508,100.588806
DM-05-03-03-03,13.7026018,100.5031261
DM-07-01-09-02,13.71699008,100.5889562
DM-07-01-07-01,13.73252741,100.5821863
DM-05-03-03-02,13.6976254,100.497658
DM-05-03-05-01,13.6976115,100.4975624
DM-05-03-05-02,13.6941834,100.5001876
DM-05-04-08-01,13.6886994,100.5144221
DM-07-05-04-03,13.72358244,100.5647144
DM-07-05-01-01,13.74249338,100.5513543
DM-07-01-01-01,13.7427409,100.5513409
DM-07-01-01-02,13.74270963,100.5515206
DM-07-05-02-02,13.73806933,100.5587116
DM-07-05-13-02,13.72127644,100.5569547
DM-07-05-13-03,13.72120087,100.5571264
DM-07-05-15-01,13.72094291,100.5568931
DM-07-05-15-02,13.71732361,100.5576226
DM-01-06-01-01,13.78250149,100.4165947
DM-07-05-12-02,13.7134489,100.5726215
DM-07-05-13-01,13.72701664,100.5600312
DM-07-01-02-02,13.73823347,100.5589128
DM-07-01-03-01,13.73553679,100.5627054
DM-07-05-03-01,13.72729283,100.5603611
DM-07-01-04-01,13.73301725,100.5663237
DM-07-01-04-02,13.73295472,100.5664203
DM-07-05-04-01,13.72705833,100.560388
DM-07-01-04-03,13.74579964,100.5728254
DM-07-01-05-02,13.736962,100.5717739
DM-07-05-02-03,13.73391616,100.5600232
DM-01-06-01-02,13.78782601,100.4260817
DM-01-06-02-01,13.78206385,100.4266691
DM-07-01-05-03,13.72911153,100.5718705
DM-07-01-05-04,13.72902034,100.5720073
DM-07-05-03-02,13.73507562,100.5610827
DM-07-01-06-03,13.74509358,100.5764866
DM-05-05-08-01,13.6967657,100.5389241
DM-05-04-09-01,13.688342,100.5142353
DM-05-03-06-02,13.6894408,100.5092223
DM-01-06-03-02,13.77927129,100.4263875
DM-05-03-06-01,13.6939644,100.4998047
DM-01-06-05-01,13.74239437,100.4470566
DM-05-04-08-02,13.6875181,100.5212435
DM-05-04-07-02,13.6889249,100.519459
DM-05-04-06-03,13.6897272,100.5183805
DM-01-06-04-01,13.7593108,100.444876
DM-05-04-06-02,13.6916122,100.5148557
DM-01-06-03-01,13.77925566,100.4427007
DM-01-06-02-02,13.78535132,100.4438353
DM-07-01-07-02,13.72693587,100.5851984
DM-07-01-08-01,13.732616,100.5871028
DM-07-01-09-04,13.73248312,100.5870572
DM-07-01-09-05,13.72038009,100.5845815
DM-07-01-09-01,13.72025241,100.5845734
DM-07-05-07-01,13.71743827,100.5710739
DM-07-05-11-02,13.7172246,100.5709317
DM-07-05-11-03,13.71901211,100.5667502
DM-07-05-11-04,13.71883492,100.5632338
DM-07-01-09-03,13.71351404,100.5937895
DM-07-05-13-03,13.71026205,100.5822077
DM-07-01-11-03,13.71333946,100.5941409
DM-07-01-08-02,13.73670926,100.5980918
DM-07-01-01-01,13.733085,100.5973461
DM-03-01-02-03,13.8449162,100.5785614
DM-01-04-03-03,13.78907897,100.4727119
DM-01-04-03-02,13.7869247,100.4978871
DM-01-04-03-01,13.79039705,100.5032516
DM-01-04-01-01,13.80423122,100.5119687
DM-01-03-01-01,13.80426769,100.5122826
DM-01-03-02-01,13.79541662,100.5073071
DM-01-03-03-01,13.7869768,100.4986382
DM-01-03-04-01,13.78197528,100.4905486
DM-01-03-04-01,13.78195184,100.4905245
DM-01-03-05-02,13.77729407,100.48538
DM-01-03-05-01,13.76932773,100.4855007
DM-01-03-06-01,13.76703521,100.4846182
DM-01-03-06-03,13.76649073,100.4762042
DM-01-04-07-01,13.76974194,100.4786181
DM-01-04-06-02,13.78017523,100.475252
DM-01-04-06-01,13.78724511,100.4665992
DM-01-04-05-02,13.77734878,100.4850957
DM-01-04-05-01,13.78488764,100.493204
DM-01-04-03-01,13.79042831,100.5032489
DM-01-04-02-01,13.79551821,100.5070683
DM-01-04-04-01,13.78871168,100.4726261
DM-01-01-02-02,13.75644763,100.4778698
DM-17-10-06-01,13.56818316,100.8264792
DM-01-05-04-01,13.75368081,100.4463485
DM-01-05-03-02,13.75928996,100.4454714
DM-01-05-03-01,13.77929994,100.4432827
DM-01-05-01-01,13.79723479,100.450345
DM-01-05-01-02,13.78628128,100.462718
DM-01-05-02-01,13.78136832,100.4647619
DM-01-02-02-02,13.7685019,100.4655451
DM-01-02-01-01,13.77443372,100.4666394
DM-01-02-01-02,13.77423574,100.466508
DM-01-01-01-01,13.76298937,100.4732323
DM-01-01-02-01,13.76256472,100.4728326
DM-01-01-03-03,13.75943064,100.4845646
DM-01-01-03-01,13.75975109,100.4779074
DM-01-01-03-02,13.75602297,100.4823223
DM-01-01-06-02,13.75589531,100.4824966
DM-01-01-04-01,13.75232084,100.4780334
DM-01-01-06-01,13.75093481,100.4784411
DM-01-02-05-01,13.74328803,100.4703113
DM-01-01-05-01,13.74337922,100.4702953
DM-01-02-04-01,13.74830862,100.4698741
DM-01-02-02-01,13.76195771,100.4720387
DM-01-05-03-03,13.76008195,100.4534107
DM-05-03-04-01,13.70216007,100.5126818
DM-05-03-04-03,13.69561793,100.5015246
DM-05-03-04-02,13.69330067,100.5078702
DM-05-04-02-02,13.692428,100.510957
DM-05-04-02-01,13.6990668,100.5145265
DM-05-04-05-01,13.698839,100.514732
DM-01-06-02-04,13.79656796,100.4306495
DM-01-06-02-03,13.78564568,100.4440606
DM-01-06-05-03,13.74698249,100.4275945
DM-01-06-05-04,13.74692256,100.4271922
DM-01-06-04-02,13.76484166,100.4073626
DM-01-06-05-02,13.75943846,100.406692
DM-01-07-02-01,13.76492502,100.4066545
DM-01-07-02-02,13.76181442,100.3953034
DM-01-07-04-04,13.75793784,100.394952
DM-01-07-04-03,13.76206452,100.3948554
DM-01-07-04-01,13.7686504,100.394775
DM-01-08-02-01,13.78793281,100.341289
DM-01-08-02-02,13.77792189,100.3410637
DM-01-08-04-01,13.77776558,100.3566796
DM-01-08-04-02,13.77714038,100.3414285
DM-01-08-03-01,13.77707264,100.3392881
DM-01-08-01-02,13.79582298,100.3314722
DM-01-08-01-03,13.80241832,100.3290743
DM-01-08-01-01,13.78858664,100.3579026
DM-01-07-03-02,13.78726855,100.3700262
DM-01-07-03-03,13.79547914,100.3942037
DM-01-07-01-01,13.79076173,100.4094708
DM-17-11-03-01,13.5110827,100.7030189
DM-17-08-04-01,13.5067182,100.7308624
DM-17-11-03-03,13.50972174,100.7828557
DM-17-11-05-02,13.5100677,100.8045594
DM-17-11-06-01,13.50572,100.8284959
DM-17-11-06-02,13.502986,100.8360522
DM-17-10-07-02,13.534183,100.8332565
DM-17-10-07-01,13.534183,100.8332565
DM-17-10-04-02,13.58180097,100.8008346
DM-17-10-04-01,13.56842564,100.8265221
